tweet_id,text,intent_label,llm_prediction_partial,llm_prediction
2749488,No new Discover Weekly? @SpotifyCares Why hast thou forsaken me?,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2909861,@115888 please please please please please please please please please can you add Leon by @40095 to your repertoire because it doesn’t get the recognition it deserves:(,Content Availability,Content Availability,Content Availability
2846481,"@115888 @SpotifyCares @117168  The ""artist"" linked to this song/album is wrong... it's Braids, not ""The Braids""  https://t.co/JWdeGF5DLt",Content Availability,Playback & Technical Issue,Playback & Technical Issue
2776192,@SpotifyCares just upgraded to premium. How long is it meant to take for the upgrade transaction to update your account? I'm still stuck on free offering?,Billing & Subscription,Billing & Subscription,Billing & Subscription
573781,"@SpotifyCares Hey, I need some help with my account",Account & Access,Account & Access,Account & Access
2036168,my debit card got hacked so i'm trying to fix my payment &amp; it says it hasn't gone through but charged my account 6 times wtf? @SpotifyCares,Billing & Subscription,Billing & Subscription,Billing & Subscription
1338274,"Hey, @spotifycares, any news on the status of the web-player? It's doing the ""Ooooooops, something went wrong!"" Message for 2 days :(",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
1742651,hey @115888 you should let me see who follows my playlists,Feature Request,Feature Request,Feature Request
338310,@115888 Something is egregiously wrong with the album art displaying. https://t.co/A5leLyBovE,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2699567,"@SpotifyCares Hi, it's like i need help with a playlist that is in my old account, i just want to have it in my new account ( i made a new account to dislink the fb ) but i thought in premium i'd have the chance, any help :(",Account & Access,Account & Access,Account & Access
2268682,@116130 Your app is the absolute worst. I'm just about ready to quit you. #littlegreencircleofrage https://t.co/zxo1nrIXUT,General Complaint,General Complaint,General Complaint
667911,@SpotifyCares hey is tax included to the $14.99 for the family plan?,Billing & Subscription,Billing & Subscription,Billing & Subscription
2277224,@SpotifyCares hey @SpotifyCares I accidently added premium to the wrong account. Can I get a refund?,Billing & Subscription,Billing & Subscription,Billing & Subscription
1214635,"@SpotifyCares hey, this is keep happening https://t.co/L5La6b6eNR",Other / Unclear,Playback & Technical Issue,Playback & Technical Issue
1982682,.@SpotifyCares get gfriend’s old albums back please,Content Availability,Content Availability,Content Availability
1162371,@SpotifyCares My new account's username is random numbers and letters. Different from the display name. It's not linked to facebook. Can you change my username to the name I chose upon registering? I'm also sure the name isn't taken by anyone. Solve this b4 I start premium please,Account & Access,Account & Access,Account & Access
906949,please have @248108 albums on @115888,Content Availability,Content Availability,Content Availability
1820469,Yo why did @115888 delete half my downloaded songs?,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
885115,rip my premium spotify account,General Complaint,General Complaint,General Complaint
1786965,@115888 if you could stop playing the #HappyDeathDay ad that'd be gr8 thanks,General Complaint,General Complaint,General Complaint
2289988,I want to cancel my previous account binding with Facebook and then change to another one，what should I do？🙏@SpotifyCares,Account & Access,Account & Access,Account & Access
